movieId,imdbId
89,0113972
93,0114825
94,0115639
95,0115759
96,0113403
97,0113247
98,0111173
99,0113283
100,0115907
101,0115734
102,0117102
103,0118040
104,0116483
105,0112579
107,0117110
111,0075314
113,0115645
114,0113774
116,0112373
117,0115033
118,0116606
120,0117427
121,0106473
122,0103859
123,0109424
124,0114808
125,0116324
127,0111055
130,0112364
132,0113451
133,0114015
135,0116130
137,0113756
138,0113952
139,0114618
140,0118055
141,0115685
142,0094878
144,0112585
147,0112461
148,0112427
149,0109093
150,0112384
151,0114287
152,0112288
153,0112462
154,0061395
155,0112495
157,0109370
158,0112642
161,0112740
163,0112851
164,0112857
165,0112864
166,0112887
172,0113481
174,0113500
178,0107447
179,0113729
180,0113749
181,0113820
184,0110620
185,0113957
186,0113986
187,0114095
189,0114241
191,0114345
195,0114496
196,0114508
197,0114534
198,0114558
199,0058450
201,0114663
204,0114781
205,0114798
206,0114805
207,0114887
209,0114928
210,0114938
214,0110882
215,0112471
216,0112508
217,0112438
218,0112571
219,0112757
222,0112679
223,0109445
224,0112883
225,0109635
229,0109579
231,0109686
232,0111797
235,0109707
237,0113097
238,0113028
241,0113089
243,0113199
245,0109906
246,0110057
247,0110005
248,0110066
249,0110116
250,0110006
252,0110099
253,0110148
256,0110216
257,0113501
259,0113552
260,0076759
261,0110367
262,0113670
263,0110296
264,0109731
265,0103994
266,0110322
267,0110443
268,0110365
269,0107566
270,0110391
271,0113691
275,0110538
279,0113896
281,0110684
282,0110638
283,0113967
285,0106402
287,0110671
288,0110632
289,0110737
290,0110729
291,0114151
294,0114113
295,0114210
297,0114084
298,0105652
300,0110932
302,0110963
304,0114296
307,0108394
308,0111507
309,0110769
310,0114268
311,0110965
312,0114571
314,0111112
315,0111255
316,0111282
318,0111161
320,0108260
322,0114594
324,0111309
326,0110081
327,0114614
329,0111280
330,0114609
332,0114852
334,0111590
335,0114788
336,0114888
337,0108550
339,0114924
340,0111667
342,0110598
344,0109040
346,0106339
347,0104779
348,0109348
350,0109446
351,0109484
353,0109506
354,0109450
355,0109813
357,0109831
358,0113305
360,0110093
361,0110167
362,0110213
363,0107472
365,0107426
367,0110475
368,0110478
370,0110622
371,0110771
372,0110950
374,0110989
375,0111054
376,0110997
377,0111257
378,0111256
379,0111438
381,0111693
382,0111742
383,0111756
384,0112443
385,0110455
386,0111048
389,0109454
393,0111301
394,0112702
396,0113014
397,0113043
399,0113173
400,0113319
401,0113827
402,0114047
404,0109339
405,0110027
407,0113409
408,0109021
409,0109035
410,0106220
413,0109068
419,0106400
420,0109254
421,0109279
422,0109297
423,0109303
424,0109305
426,0106452
427,0106471
428,0106489
430,0106505
433,0109443
434,0106582
435,0106598
436,0109456
437,0109480
438,0109493
439,0106660
442,0106697
444,0106834
445,0106873
447,0109783
448,0106881
449,0106880
451,0106926
453,0106941
454,0106918
455,0106965
456,0109842
457,0106977
458,0107004
459,0109890
462,0109920
465,0107096
466,0107144
467,0113674
470,0110064
474,0107206
475,0107207
476,0110137
478,0110197
479,0107286
481,0107302
482,0110265
483,0107322
485,0107362
486,0107413
488,0107468
489,0107478
490,0107497
495,0074102
496,0111689
497,0107616
498,0107611
499,0107613
501,0107653
503,0110649
504,0110678
505,0110687
506,0107756
507,0107808
508,0107818
509,0107822
510,0107840
512,0111003
513,0110939
514,0110955
515,0107943
517,0107969
518,0111001
519,0107978
521,0107983
524,0108002
525,0108026
526,0105032
529,0108065
530,0111102
532,0111127
533,0111143
535,0108122
536,0111194
537,0111201
538,0108149
539,0108160
540,0108162
541,0083658
542,0108186
543,0108174
544,0108238
546,0108255
547,0111323
548,0111400
550,0111418
551,0107688
552,0108333
554,0111488
555,0108399
558,0110763
559,0107779
560,0109226
563,0107002
564,0109403
565,0104029
566,0110623
567,0107315
568,0106408
569,0110363
570,0107349
571,0111709
572,0109828
573,0107225
574,0111252
575,0110366
579,0108059
580,0110892
584,0106678
586,0099785
587,0099653
588,0103639
589,0103064
590,0099348
592,0096895
593,0102926
594,0029583
595,0101414
596,0032910
598,0110719
600,0110395
602,0109934
603,0112606
606,0112625
607,0106537
608,0116282
609,0116552
611,0116514
612,0117283
613,0116684
614,0110374
616,0065421
617,0113083
619,0116165
621,0107471
623,0113839
627,0113613
628,0117381
629,0114305
633,0112844
635,0116275
637,0117608
639,0116414
640,0116095
641,0111543
647,0115956
648,0117060
652,0112257
653,0116136
656,0116168
657,0111787
658,0112509
659,0054189
660,0115591
661,0116683
664,0116269
665,0114787
667,0112536
673,0117705
675,0110061
676,0140614
678,0108181
679,0114307
680,0058898
681,0082206
682,0111430
683,0107727
684,0081759
685,0113443
687,0109491
691,0117104
692,0117688
694,0117774
695,0114736
698,0109593
700,0112368
701,0104046
703,0115742
704,0117420
705,0115951
706,0117784
707,0117107
709,0095776
710,0115851
711,0116322
712,0109374
713,0110712
715,0113362
716,0073778
717,0112546
719,0117108
721,0114103
723,0092123
724,0115963
725,0116448
726,0116827
727,0114894
728,0112701
729,0113429
730,0125877
731,0116508
733,0117500
734,0116405
735,0109592
736,0117998
737,0115624
738,0113145
742,0117894
743,0117723
744,0112586
748,0115571
750,0057012
751,0103926
752,0105737
754,0113188
757,0109688
758,0104606
760,0108211
764,0113280
765,0116669
766,0116594
767,0113211
771,0094265
775,0063715
778,0117951
779,0118523
780,0116629
781,0117737
784,0115798
786,0116213
788,0117218
789,0100990
790,0111546
792,0093199
795,0111237
797,0103207
798,0116040
799,0116365
800,0116905
803,0118113
805,0117913
806,0115530
807,0114266
808,0115493
809,0116320
814,0112568
816,0117999
818,0118073
822,0104403
823,0061495
830,0116313
831,0114550
832,0117438
833,0116531
835,0116353
836,0115857
838,0116191
840,0116571
841,0053459
842,0117826
844,0108227
845,0111424
848,0117718
849,0116225
850,0112767
851,0115632
852,0117918
854,0051980
855,0100840
858,0068646
859,0116536
864,0114936
865,0114474
866,0115736
867,0115836
868,0101692
869,0116745
870,0119214
871,0116934
874,0113542
875,0110693
878,0112607
879,0120004
881,0116311
882,0117965
884,0114592
885,0115725
886,0115783
887,0120271
888,0113596
889,0109001
891,0113253
894,0024252
895,0105729
896,0111019
897,0035896
898,0032904
901,0050419
903,0052357
904,0047396
905,0025316
907,0025164
908,0053125
910,0053291
911,0056923
912,0034583
913,0033870
914,0058385
915,0047437
917,0031580
919,0032138
920,0031381
921,0084370
922,0043014
923,0033467
924,0062622
925,0039428
926,0042192
927,0032143
928,0032976
929,0032484
930,0038787
931,0038109
933,0048728
935,0045537
937,0050658
940,0029843
941,0032762
942,0037008
943,0039420
944,0029162
945,0027125
946,0035446
949,0048028
950,0025878
951,0032599
952,0048960
953,0038650
954,0031679
955,0029947
957,0017350
958,0036094
959,0025586
960,0038300
963,0041509
966,0038235
967,0036241
968,0063350
970,0046414
971,0051459
973,0033891
974,0029855
977,0027980
979,0114007
981,0118927
983,0113730
984,0117357
987,0118742
988,0116442
990,0117011
991,0117039
992,0117473
993,0116635
994,0115678
996,0116830
998,0117603
1000,0115994
1001,0083587
1002,0116167
1003,0116259
1004,0116421
1005,0116000
1006,0115862
1007,0072653
1008,0047977
1009,0072951
1010,0064603
1012,0050798
1013,0055277
1014,0054195
1015,0107131
1017,0054357
1018,0059793
1019,0046672
1020,0106611
1021,0109127
1022,0042332
1023,0063819
1025,0057546
1027,0102798
1028,0058331
1029,0033563
1030,0076538
1033,0082406
1034,0116361
1035,0059742
1037,0104692
1038,0118044
1041,0117589
1042,0117887
1043,0117924
1045,0116928
1046,0115640
1049,0116409
1050,0116913
1051,0117958
1052,0117400
1054,0116404
1055,0120107
1056,0116722
1059,0117509
1060,0117802
1062,0117781
1063,0116714
1064,0115491
1065,0043140
1066,0029546
1067,0028757
1069,0037101
1070,0044863
1071,0109823
1075,0111622
1076,0055018
1077,0070707
1078,0066808
1079,0095159
1080,0079470
1083,0059243
1086,0046912
1087,0113731
1088,0092890
1089,0105236
1090,0091763
1091,0098627
1094,0104036
1097,0083866
1099,0029992
1100,0099371
1103,0048545
1104,0044081
1105,0115885
1106,0116859
1112,0117284
1113,0115580
1114,0116378
1115,0114472
1117,0116581
1120,0117318
1125,0072081
1126,0101775
1128,0080749
1129,0082340
1130,0082533
1131,0091288
1132,0091480
1136,0071853
1137,0116587
1139,0116245
1140,0116212
1144,0116886
1145,0117677
1147,0118147
1148,0108598
1150,0084589
1151,0109781
1160,0025799
1161,0078875
1165,0115715
1166,0113031
1167,0116059
1168,0115610
1172,0095765
1175,0101700
1176,0101765
1177,0101811
1178,0050825
1180,0102014
1181,0120121
1184,0102426
1185,0097937
1186,0098724
1187,0105107
1189,0096257
1191,0102370
1192,0100332
1193,0073486
1194,0078446
1196,0080684
1197,0093779
1198,0082971
1200,0090605
1202,0094336
1206,0066921
1207,0056592
1208,0078788
1209,0064116
1212,0041959
1213,0099685
1214,0078748
1215,0106308
1216,0095250
1217,0089881
1218,0097202
1219,0054215
1222,0093058
1223,0104361
1224,0097499
1227,0087843
1231,0086197
1232,0079944
1234,0070735
1235,0067185
1237,0050976
1238,0085859
1240,0088247
1242,0097441
1244,0079522
1245,0100150
1246,0097165
1247,0061722
1248,0052311
1252,0071315
1253,0043456
1254,0040897
1255,0092610
1256,0023969
1258,0081505
1261,0092991
1262,0057115
1264,0082269
1266,0105695
1268,0100436
1270,0088763
1271,0101921
1273,0090967
1275,0091203
1276,0061512
1278,0072431
1279,0102536
1284,0038355
1285,0097493
1286,0081534
1287,0052618
1290,0094006
1291,0097576
1292,0078841
1295,0096332
1296,0091867
1297,0089886
1299,0087553
1300,0089606
1302,0097351
1304,0064115
1305,0087884
1307,0098635
1308,0113369
1311,0117550
1314,0115754
1315,0114093
1316,0115548
1317,0116601
1318,0112537
1321,0082010
1322,0103678
1323,0085159
1324,0115535
1327,0078767
1328,0099030
1330,0090655
1334,0051418
1335,0082083
1336,0101492
1339,0103874
1340,0026138
